Program_ID,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
21,gs_ind_0,upregulated_genes,48/3539,6.841280316805274e-06,2.0523840950415823e-05,3.995455127866925,47.5160925981794,MSH4;NTRK2;C5;PTH2R;RIMS2;DNAH12;SHC3;BAALC;LINC00504;APTX;SLC6A17;NUP210L;CERS3;RXFP1;GSTO2;SNX31;GSG1L;MYO15A;LINC00390;NEB;NPHP3-AS1;MOBP;NEK5;DRAIC;ATP8B4;DOK5;MKLN1;SARM1;SLC39A12;SPAM1;PALD1;SERPINC1;ARHGDIG;EPG5;GPR158;IFI44;OR9Q1;ALOX12-AS1;DNAJC9;LAT2;CNR2;CLDN4;USP6;SNAP25-AS1;LINC00871;RCVRN;DNM3;MPP4
22,gs_ind_0,upregulated_genes,59/3539,3.981835935802889e-11,1.1945507807408667e-10,10.399607336110712,249.0362044021935,CD163L1;LINC01266;ADCY8;CNBD1;SCGB3A2;CSMD2;DLC1;LINC00504;MTHFD1L;CLSTN2;LINC01122;GABRB1;NXPH2;LGR4;SCUBE1;MAGI3;MOBP;HIVEP1;LINC01010;TRPC5;GLIPR1L2;SHROOM3;PLEKHD1;EFCAB8;ATP10A;ROBO2;MAGI1;SETBP1;LINC01098;MDGA2;DOCK4;MYRFL;MEF2C-AS1;PTPRN2;MIR99AHG;RNF217-AS1;SAMD12-AS1;CFAP221;PROM1;KALRN;XAF1;PPP2R2B;MLLT3;DPP10;HPX;PRC1-AS1;DAW1;GPR39;FTO;STAB2;GRM5;TEX29;ANK3;RERGL;TMCC3;ROBO1;ZNF804B;NLGN4Y;CD247
25,gs_ind_0,upregulated_genes,53/3539,2.6785471833888964e-07,8.03564155016669e-07,4.9347398790291965,74.6765357603034,TPTE2;ADGRV1;CACNB4;CUBN;RTN1;SLC14A2;DCC;PLCZ1;GLDN;FHDC1;BEGAIN;DMBT1;PAX5;LINC01500;DRAIC;PLPPR5;CHD5;NRK;ATP8B4;SHANK2;LINC00578;CASC20;UNC13A;ADAM18;MAP7;CNTN4;CA8;MYO3B;EFCAB3;CELF4;TEKT5;RBFOX3;PCDH15;PROM1;LRP1B;ADGRB1;NKAIN1;CTNNAL1;TRPM2;C9;EYS;TGM7;DIO2-AS1;NRG1;ANO2;SRGAP2B;RUNX1;USP6;HORMAD2;TNIP3;ALCAM;CDC14A;KSR2
26,gs_ind_0,downregulated_genes,126/2741,4.3108450353504905e-32,1.2932535106051473e-31,12.634146859533974,912.4581621963462,EMC6;LMAN1;MED10;XBP1;STRAP;CSRP3;BTF3;ZFAS1;SAC3D1;PSMD3;RNF181;EDF1;PSMB6;PSMA7;EIF3D;GLO1;MRPS18C;NTMT1;TAGLN2;MLF2;EIF1;MRPS18B;RTCB;TRIM47;CSNK2B;RNF7;SAP18;MYL12B;PFDN6;SRSF8;ADRB1;THUMPD3-AS1;DCUN1D5;MIR22HG;EIF2S1;P2RY1;ALDOA;TMEM14C;GSTP1;DUSP13;FTL;CHORDC1;NIP7;RBM42;DDX24;RNF114;MRFAP1;BRAP;CD63;PIM3;ZNF576;GLRX2;YBX1;PSMD12;CEBPG;DCTN2;SNRPA1;PLEKHF1;PITHD1;EIF3I;ADRM1;HSP90AB1;SCAMP3;PSMD6;NOL7;SLC1A5;RPL27;TRIAP1;PRR13;EIF2B2;GPX1;HSD3B7;CLCF1;EIF5A;SNHG15;DDIT3;FAM136A;MRPS30;SNHG12;COPS3;ATP6V0B;VIM;BNIP1;DPH2;PDCD2;PEA15;BAIAP2L1;EIF2A;SHISA3;S100A11;TRMT10A;UBC;EIF6;MITD1;CCNG1;TIMM21;RAE1;SURF2;ATP6V1G1;SAT1;KLF10;EIF2B4;SNHG8;THAP1;DGUOK;ALG5;RPL8;SLC39A1;FABP5;YDJC;RNASEK;CENPV;IL6R;CEP85L;CNBP;ENO1;CITED2;DNAJC9-AS1;RPS27A;TSSC4;CCT7;GPN3;PFN1;RNPS1;GNB2;NPTX2
27,gs_ind_0,downregulated_genes,62/2741,0.016291015529247707,0.04887304658774312,1.5200649444641123,6.258322492389162,HLA-C;MYL12B;CHPF;IFITM3;IGSF8;SSR4;ACTB;PDIA3;TPM2;PPP1R14A;IFITM2;PPFIBP1;IL13RA1;SAT1;SH3BGRL3;PPIB;CALR;VKORC1;RPL12;LGALS3BP;MTHFD2;CYBA;VASN;ITM2B;ZNF843;ANGPTL2;GSTP1;PYCARD;TMED9;B2M;CD99;TMEM37;DCN;TUBB;ITGA11;MYDGF;FKBP7;MYL6;MCTP2;CD248;VIM;EHD2;CD63;CFL1;QSOX1;IFI27;TAGLN2;ITM2C;ETS1;ARL4D;TMSB10;S100A11;TWF2;TMEM14A;PLTP;TOR4A;PGLS;OSTC;TMX4;PFN1;RCN2;S100A10
29,gs_ind_0,upregulated_genes,71/3539,8.914830078891903e-15,2.674449023667571e-14,16.129059494635392,521.7921747434399,COL21A1;HECW1;CACNA1A;WNT2B;PTH2R;RASGRF2;AFAP1L2;NELL2;ZNF19;DLGAP1-AS2;NUP210L;DLEU7;PLCZ1;GPC3;L1TD1;FAM182B;TMEM132E;CLEC17A;SLC30A8;GSG1L;FAM234B;UNC5C;CCDC26;LYPD8;RORA;NPAS3;SHANK2;PLEKHD1;SRD5A2;PLGLB2;SPAM1;LINC01581;ST6GAL2;MAMDC2-AS1;ZNF536;ATF7IP2;KIF6;IL2RB;HHAT;PTPRN2;COL8A1;GPR158;VWDE;CELF4;SHCBP1;CYSLTR1;FCRL5;CNTNAP2;TIMD4;LRP1B;ADGRB1;TRPM2;PKP1;SLC37A1;RXFP2;TFEC;DAW1;NSMCE2;DENND6A-AS1;CEACAM1;CPA6;LINC00922;CCDC62;DNAH5;ANO2;LRRC4C;PDZRN4;CCR3;SLC12A1;GRM7;SNTB1
30,gs_ind_0,downregulated_genes,49/2741,0.00046929901426696457,0.0014078970428008939,2.1877437325905293,16.767459610360035,DUSP1;ZNF774;GPX3;SOD1;HSP90AB1;PSMD13;PSMC3;ACTB;CSRP3;SLC1A5;PSMC2;CLIC1;BLVRB;CD276;GAPDH;PSMB1;DNTTIP2;LRRC8E;BRF2;MPDU1;CRYAB;ASAH1;NEU1;TAF7;DUSP13;LOXL1;FTL;PIGH;PSMB6;TUBA4A;DDIT3;MAP1A;PSMA7;CTSD;CD55;TTC1;KIAA1143;VIM;PSMA3;PSMB5;IL6R;PSMB2;PSMB3;ABHD4;PSMD12;ADM;PRDX1;UBC;PSMD8
31,gs_ind_0,upregulated_genes,77/3539,3.663574783611704e-12,1.0990724350835112e-11,7.198003822467615,189.54202393616896,CD3G;C6;N4BP2L1;ZCWPW2;SHC3;COL6A6;CADM1;ADCY10;PACS1;CHRNE;PRMT8;SNX31;ZSWIM6;LINC01588;MYRFL;TINCR;LINC00609;OBSCN;STK33;FAM193A;SLC16A9;POLN;MARK1;USP33;ARL13B;AZIN2;AMY2B;SYTL2;GALNT14;FRRS1L;FNBP1;RCVRN;HRH4;KLRD1;CCR3;CD247;PYY;TTC7B;RNF38;BMPR1B;PLEKHD1;SPAM1;MIR34AHG;ERICH3;CCDC168;DNAJC9;B3GALNT2;SLFNL1;TTC4;CHODL;RGL1;ALDH8A1;SLC6A17;BTBD9;TMEM135;SOX6;ATP1A4;DRAIC;MYBPHL;KDM2A;CRB1;TNNI3K;PCSK7;TBCEL;ESYT3;DAZL;RNF217-AS1;STK38L;ATP8A2;USP53;PRDM6;C2CD3;SRGAP2-AS1;ANO1;PPP6R3;TTC29;CACNA1S
32,gs_ind_0,downregulated_genes,67/2741,5.090936462945496e-06,1.5272809388836487e-05,2.4914884709265124,30.36638297708116,CCT6A;ZBTB39;GPX3;MIER1;FTH1;PLIN2;GMFB;FAM53B-AS1;ACTB;ATP6AP1;ZNF595;TRIAP1;ZNF195;LRPAP1;ATP6V1G1;DDX39A;GPX1;DNAJC25;SDC4;DNTTIP2;LINC00482;NINJ1;PTMA;DHX37;STC2;DAZAP2;NEU1;DDIT4;SNHG8;CWC25;TSKU;DUSP13;MORF4L2-AS1;FTL;ZNF84;SNX2;M6PR;DDIT3;MCOLN1;PSMA7;CTSD;IP6K3;ATP6V0B;VIM;BRAP;MT1E;HEXA;CEP85L;EIF1AD;HSPA5;TSC22D1;ARF4;CHMP2B;S100A11;NOCT;PIDD1;LAMP1;SF3B2;ADM;ZNF425;UBC;PAK1IP1;SEPHS2;TMEM38B;RNPS1;LAMTOR3;ZNF468
34,gs_ind_0,downregulated_genes,87/2741,1.9388939325997323e-12,5.816681797799197e-12,4.061375420091007,109.53084155134057,MED10;SOD1;PSMC3;SNHG19;ZFAS1;HERPUD1;PSMB6;PSMA7;CTSD;MVD;ARMCX1;MSMO1;TAF13;RABGGTB;EIF1;TRMT112;ZNF222;SAP18;KLHL21;PSMD7;PFDN6;MAX;DDX39A;SHC1;PTRH2;GSTP1;MMADHC;FTL;ZNF593;FBXO6;CD55;PSMA3;EIF4A3;TMEM208;ALG3;PNO1;PSMB3;PSMD12;LAMTOR3;PITHD1;EIF3I;ADRM1;HSP90AB1;SLC1A5;PSMC2;PSMB1;DNTTIP2;URM1;CRYAB;STEAP1;GNL2;NEU1;MED31;HMGCS1;DDIT3;MYDGF;ELOVL1;TTC1;PSMB5;DPH2;UBC;PSMD8;MAP1LC3B;GPX3;RAE1;PSMD13;APOD;UBB;ZFAND2A;ARFIP2;BLVRB;ATP6V1G1;SAT1;GPATCH3;DNAJB9;LRRC8E;GAR1;SNHG8;DDA1;SMPD2;SRSF2;PSMB2;TIMP4;HSPA5;ARF4;PRELID1;ZBTB43
35,gs_ind_0,upregulated_genes,53/3539,1.598716733250883e-11,4.796150199752649e-11,16.81494335293274,418.00662423981856,MIR3681HG;SHISA6;LINC00639;GABRG3;ELAVL4;LINC01266;TRPM1;AGBL1;ARHGAP15;PCSK2;TMPRSS15;PLCZ1;CYP19A1;LINC00290;LINC00519;CCDC88C;FLG-AS1;ESR1;CCDC26;PIK3C2G;CCDC178;PLEKHD1;ATP10A;FLJ40288;ADTRP;LINC01524;AK5;UNC13C;PTCSC3;BANK1;LINC01594;LINC00607;PTPRN2;CASC15;DAZL;HSD17B6;SEL1L2;CA10;LINC00609;NELL1;TACR3;IGFN1;XAF1;ANXA10;DPP10;GRM3;TP63;FSTL4;CPA6;CFAP47;HRH4;HORMAD2;TG
37,gs_ind_0,upregulated_genes,77/3539,3.4196899350486537e-16,1.0259069805145961e-15,17.512841670964416,623.6640182231735,GNLY;PRMT8;LINC00501;NEK11;ARID1B;SHANK2;MIR4300HG;LINC01581;SPRED2;LMCD1-AS1;PRKG2;GABBR2;SNTG1;TIMD4;TNR;ANKRD18B;TFEC;CRYGS;ZNF385D;COG5;MYO3A;SLC12A1;LINC01478;BACH2;GLIS1;DNAH12;RIMS2;DOK6;SLC30A8;DPH6;BMP2K;TM4SF1-AS1;ZNF536;BANK1;ARL13A;LINC00877;UPP2;RXFP2;GRM5;LINC00922;ARNT2;SPTBN4;DLGAP1;ENOX1;KCNS3;CD247;NPAS3;ADGRG5;NEB;SLC35F4;BCL2;MDGA2;NCOA1;TBCK;NEBL;SHISA9;TENM3;CCDC60;FSTL5;IQSEC3;BDNF;PTPN7;DCLK2;NUP88;SLC6A17;ESR1;DAPL1;TEX41;SRD5A2;ADTRP;MAGI2;ST6GALNAC2;CASC15;DAZL;TAPT1;MTERF1;ATP8A2
38,gs_ind_0,upregulated_genes,57/3539,4.4614287234018475e-08,1.3384286170205544e-07,5.309784215193615,89.86922185788849,MIR3681HG;DDAH1;CNBD1;AGBL1;NELL2;PWRN1;SGCZ;SLC6A17;GABRB1;DLEU7;CYP2J2;ADGRG6;ITGB8;EPHA1-AS1;TRPV4;AFF2;ESR1;FRMD6;VEGFC;PLPPR5;NEK5;SHANK2;HMCN2;ARHGAP42;CTNNA2;LINC00670;CD96;BCL2;ZC3H12B;ARHGDIG;DOCK4;NWD2;GALNT3;ATP8A2;NELL1;LINC00571;CCDC60;ANKRD31;DPP10;FLRT2;GRXCR1;STAT4;GNG12-AS1;ABCA12;PTPRR;ACOXL;MYO3A;KCND2;NRG1;DLGAP1;CASC2;LINC00499;MAPT-AS1;CACNA1S;ALCAM;TMEM108;EPHA6
39,gs_ind_0,downregulated_genes,59/2741,0.006152831562858449,0.01845849468857535,1.6664221507380572,8.483493351820924,PCSK6;NONO;RASD1;SERPING1;RARRES1;IFITM3;LMO1;ACTB;RAB34;YIF1A;IFITM2;EEF2;GCA;ZNF526;ENDOV;VKORC1;PTMA;URM1;EIF5AL1;ZNHIT1;FANCF;CLCF1;VASN;RPL7A;RASSF7;ZNF830;PLPP3;PYCARD;TMEM37;HELZ2;DCN;ZNF260;RPS9;RPL3;CORO1B;SSR2;EHD2;POP5;MARCKSL1;LAD1;NR2C2AP;CDC40;ITM2C;ARL4D;ZNF503;COL6A2;RCC1;MAGEE1;TMSB10;S100A11;PRKCD;TNK1;LSM2;PAK1IP1;RPL18;ASB16-AS1;SARAF;S100A10;SNAI3
40,gs_ind_0,upregulated_genes,76/3539,3.5219994721307916e-09,1.0565998416392375e-08,4.464125884221164,86.89080410452479,PPP4R1;CACNA1A;NPFFR2;OSGIN2;CYP2C9;ERG;HMGN1;DCC;LINC01191;SRGAP1;MCTP1;SNX14;BNIPL;ADGRG6;HGD;EPHA4;CCDC144NL;HELB;RBMS1;NRXN2;LINC01500;RGS7;TTC6;CCDC26;VGLL2;CDH18;RAD51B;RAVER2;COL13A1;ATP10A;ITGA4;SPRED2;UST;DENND2A;UNC13C;MEI1;SNHG22;UNC5D;PAXBP1;DOCK4;BICC1;KIF6;HSPA4L;TNRC6A;RFX7;SRCIN1;PROM1;CNTNAP2;EBF4;ARID4A;LINC00540;LRP1B;ADAMTS9-AS2;EYS;UBXN7;GLCCI1;NRXN3;LYST;MEGF10;DAW1;ACAP2;AGMO;STK38;SLC38A6;FLRT2;RBM26;FOXJ3;GNG12-AS1;ADAMTSL1;NRG1;PHF21B;HORMAD2;GXYLT1;NLGN4Y;P2RY14;CDC14A
41,gs_ind_0,upregulated_genes,84/3539,1.188616842808395e-13,3.565850528425185e-13,7.864044532586584,234.04038152266952,DIAPH3;CREB5;PCSK5;N4BP2L1;LINC00539;ARHGAP6;KCNH5;CPQ;SPATA6L;ZAR1L;FHDC1;PHEX;ADGRA2;WDFY3;SNX31;NEK5;PBX3;MID1;CDK14;EXT1;PTPRN2;GNRH1;LINC00609;RELN;COG5;CPED1;NLRP7;ADAMTSL1;PAG1;LINC00639;MYH15;RGS22;RIMS2;KLHL13;LINC00534;MORC4;HIPK2;DGKH;ARHGAP44;SLC30A8;FRY;CASC20;GRIA3;FAM110B;FRMPD4;GLCCI1;SLC15A1;KLF12;ENOX1;DGKI;LINC01482;BAALC;AKAP6;CALN1;KCNK9;LINC01301;SYCP2;PTN;LINC00390;LINC01500;BMPR1B;NRK;EXTL3-AS1;BRCA2;MDGA2;DOCK4;NPSR1;HYAL4;LINC01393;FREM1;NTSR1;COLEC10;TG;TXK;NPFFR2;DPY19L1;TMEM71;RAD51B;ADAM18;DENND2A;TNFSF13B;TAF1;HDAC9;SYT16
43,gs_ind_0,downregulated_genes,43/2741,1.878456424060514e-05,5.635369272181542e-05,3.068476480927843,33.39261882623837,BAIAP2;DUSP1;ANKRD39;PLIN2;PSMD6;KMT2E-AS1;ZFAND2A;PTGES2-AS1;MMP11;ZNF165;ADPRM;PRRG2;SDC4;PAN3-AS1;HINFP;ZNF79;TMEM143;MED29;VASN;PCK2;NEU1;HERPUD1;CDC37;MAGOHB;ZNF703;FTL;RBM42;LINC00921;FGF7;KDM8;ERCC1;ZNF837;USB1;ZNF7;ZNF841;SLC52A2;SPA17;IL6R;TRMU;ZNF778;TRMT10A;KLHL21;CSDC2
44,gs_ind_0,upregulated_genes,96/3539,7.339609555364806e-15,2.2018828666094417e-14,7.2901947769088755,237.26296666148286,NOL4;ZCWPW2;TENM1;NRG3;ENTPD1-AS1;DNAH6;GRIA4;CHRNE;TDRD12;WDFY3;GSE1;PRKCA;ANKDD1B;SKAP1;GRM1;ERCC6L2;MCC;CPEB3;SNHG22;RECQL4;ATG7;AGAP4;LRRN2;SPNS3;TINCR;THSD7A;DANT2;EXOC6B;AHRR;ALOX12-AS1;ANKRD18B;ZNF385D;DENND5B;ABCA12;STAC;TRIM9;SAMD12;PTPRM;EPHA6;GATAD2A;SLC16A9;DOCK10;MCTP1;PDE1C;RABGAP1L;AZIN2;PDE6A;FNDC3B;NAV1;MSS51;PIWIL4;LRP1B;BACE2;FAM135B;PIEZO1;NTRK2;VAV3;ADAMTS10;PTH2R;NCOA2;LIPA;LINC00504;OCLN;BNIPL;MED14;LIPE-AS1;NCAM2;SH3BP5-AS1;TWIST1;NCOA1;CA10;STXBP5L;IGF2BP3;LINC01344;PRKD2;DIP2B;PTPN7;RGL1;ADCY8;FTX;PXN;ADAMTS18;CRADD;BDNF-AS;SOX6;GALNT7;GLT8D2;GALNT18;FAM227B;ATP2B2;TBCEL;CCSER1;MGLL;OSBPL6;GNG12-AS1;TENM4
46,gs_ind_0,upregulated_genes,98/3539,2.766121755202641e-15,8.298365265607925e-15,7.4456113405699345,249.58679587208934,MIER3;SCML4;ZNF19;PLA2G6;PAPPA;CADM1;PHEX;LINC00501;CCDC26;SLCO1A2;ABCB10;GABBR2;ZSWIM8;UGGT2;ATP13A4;SYNGAP1;BCAS3;LINC00540;EXOC6B;FAM117B;ZNF385D;ABCA12;STAC;COL22A1;ZBED3-AS1;MED13L;AKT3;GRM7;EPHA6;MIR3681HG;RNF215;GLIS1;RASGRF2;SMOC2;TMPRSS15;GOLGA8N;ARL13B;ADCY2;LINC00927;LINC00578;PCDH19;FRRS1L;FRYL;MLLT3;DPP10;UPP2;BNC2;PPIP5K1;AK5;SLC35F2;SORL1;CACNB4;MDFIC;EIF4ENIF1;LHFPL2;MTG2;CCDC158;LINC00882;PLPPR5;SETBP1;CNNM2;FOXO3;NRXN3;DENND6A-AS1;CRIM1;SLC25A25-AS1;RUNX1;IGSF1;ST18;SETD5;MAML3;FTX;TIAM1;UBR5;MCF2L2;HPSE2;DRAIC;RORA;NYAP2;LEPR;MYCBP2;ADGRL3;LPP;MAGI2;MEF2C-AS1;CASC15;RGS9;EBF4;NELL1;C1QTNF7;ADAMTS9-AS2;CCSER1;TMEM232;BTAF1;KAZN;HS2ST1;CTTNBP2NL;BRINP1
